Date,Time,Latitude,Longitude,Depth,Magnitude,Datetime
2019-01-02,21:26:45,5.7,126.0,133.0,4.5,2019-01-02 21:26:45
2019-01-02,21:26:53,4.96,126.0,161.0,4.2,2019-01-02 21:26:53
2019-01-03,02:08:59,2.99,128.75,76.0,3.9,2019-01-03 02:08:59
2019-01-03,11:25:54,-0.14,122.15,150.0,3.0,2019-01-03 11:25:54
2019-01-03,15:45:08,1.4,125.66,10.0,2.8,2019-01-03 15:45:08
2019-01-03,15:56:22,6.36,126.81,131.0,4.2,2019-01-03 15:56:22
2019-01-03,17:39:34,0.53,122.2,85.0,2.5,2019-01-03 17:39:34
2019-01-03,17:52:35,1.63,126.56,10.0,2.7,2019-01-03 17:52:35
2019-01-03,18:00:29,-0.03,122.84,145.0,3.1,2019-01-03 18:00:29
2019-01-03,18:16:10,1.79,128.74,10.0,4.3,2019-01-03 18:16:10
2019-01-03,20:59:03,2.49,127.31,43.0,5.0,2019-01-03 20:59:03
2019-01-03,23:27:55,-0.33,123.28,65.0,2.8,2019-01-03 23:27:55
2019-01-03,23:36:43,0.55,121.13,37.0,2.9,2019-01-03 23:36:43
2019-01-04,02:00:30,-0.12,123.38,94.0,3.3,2019-01-04 02:00:30
2019-01-04,02:00:31,-0.08,123.33,85.0,3.3,2019-01-04 02:00:31
2019-01-04,05:02:21,-0.24,119.92,136.0,3.3,2019-01-04 05:02:21
2019-01-04,07:38:37,-0.3,124.07,57.0,3.3,2019-01-04 07:38:37
2019-01-04,10:19:29,0.4,122.11,164.0,3.8,2019-01-04 10:19:29
2019-01-04,10:23:36,-0.15,123.01,7.0,2.9,2019-01-04 10:23:36
2019-01-04,16:12:51,5.04,127.21,129.0,4.1,2019-01-04 16:12:51
2019-01-04,18:15:25,1.79,126.33,10.0,4.0,2019-01-04 18:15:25
2019-01-04,18:28:05,-0.05,123.05,218.0,3.2,2019-01-04 18:28:05
2019-01-04,21:45:40,2.59,127.35,10.0,3.0,2019-01-04 21:45:40
2019-01-04,23:14:25,1.28,127.24,139.0,4.5,2019-01-04 23:14:25
2019-01-05,00:10:46,1.78,126.48,97.0,4.4,2019-01-05 00:10:46
2019-01-05,01:04:20,4.32,126.19,120.0,5.3,2019-01-05 01:04:20
2019-01-05,04:44:51,2.84,125.91,113.0,4.3,2019-01-05 04:44:51
2019-01-05,05:15:52,2.03,128.36,39.0,4.4,2019-01-05 05:15:52
2019-01-05,05:51:17,0.26,124.05,199.0,3.3,2019-01-05 05:51:17
2019-01-05,09:58:46,1.12,121.18,46.0,2.7,2019-01-05 09:58:46
2019-01-05,12:37:15,3.71,127.94,158.0,3.6,2019-01-05 12:37:15
2019-01-05,14:54:41,2.9,126.2,15.0,3.7,2019-01-05 14:54:41
2019-01-05,16:59:31,-0.34,122.94,58.0,3.8,2019-01-05 16:59:31
2019-01-05,18:37:29,0.54,122.29,89.0,4.2,2019-01-05 18:37:29
2019-01-05,21:38:46,3.15,126.42,57.0,3.4,2019-01-05 21:38:46
2019-01-05,22:43:41,-0.1,124.5,114.0,3.2,2019-01-05 22:43:41
2019-01-05,23:45:40,-0.18,119.82,162.0,4.1,2019-01-05 23:45:40
2019-01-06,11:26:05,0.86,126.09,10.0,3.9,2019-01-06 11:26:05
2019-01-06,14:34:40,5.88,126.83,138.0,4.5,2019-01-06 14:34:40
2019-01-06,17:27:21,2.34,126.75,56.0,6.6,2019-01-06 17:27:21
2019-01-06,17:33:15,2.49,126.76,10.0,5.4,2019-01-06 17:33:15
2019-01-06,17:35:42,2.36,126.85,10.0,4.7,2019-01-06 17:35:42
2019-01-06,17:41:08,2.49,126.78,10.0,3.8,2019-01-06 17:41:08
2019-01-06,17:42:34,2.36,126.77,12.0,4.4,2019-01-06 17:42:34
2019-01-06,17:46:44,2.3,126.83,10.0,4.6,2019-01-06 17:46:44
2019-01-06,17:57:21,2.4,126.76,10.0,4.5,2019-01-06 17:57:21
2019-01-06,18:00:43,2.25,126.74,10.0,4.5,2019-01-06 18:00:43
2019-01-06,18:01:42,2.42,126.76,14.0,4.7,2019-01-06 18:01:42
2019-01-06,18:07:15,2.33,126.77,10.0,3.9,2019-01-06 18:07:15
2019-01-06,18:10:02,2.27,126.86,17.0,3.7,2019-01-06 18:10:02
2019-01-06,18:12:08,2.34,126.74,10.0,4.3,2019-01-06 18:12:08
2019-01-06,18:14:32,2.24,126.73,15.0,4.5,2019-01-06 18:14:32
2019-01-06,18:18:08,2.31,126.75,10.0,5.0,2019-01-06 18:18:08
2019-01-06,18:20:35,2.18,126.72,28.0,4.3,2019-01-06 18:20:35
2019-01-06,18:23:48,2.38,126.82,10.0,4.4,2019-01-06 18:23:48
2019-01-06,18:25:30,2.44,126.82,54.0,5.0,2019-01-06 18:25:30
2019-01-06,18:35:34,2.28,126.85,15.0,4.4,2019-01-06 18:35:34
2019-01-06,18:41:39,2.34,126.84,27.0,3.6,2019-01-06 18:41:39
2019-01-06,18:43:27,2.26,126.78,11.0,3.8,2019-01-06 18:43:27
2019-01-06,18:44:28,2.44,126.77,10.0,3.9,2019-01-06 18:44:28
2019-01-06,18:57:01,2.35,126.78,27.0,4.2,2019-01-06 18:57:01
2019-01-06,19:00:38,2.49,126.8,10.0,4.1,2019-01-06 19:00:38
2019-01-06,19:08:54,2.34,126.78,15.0,3.5,2019-01-06 19:08:54
2019-01-06,19:10:11,2.3,126.72,11.0,3.4,2019-01-06 19:10:11
2019-01-06,19:12:29,2.45,127.03,52.0,3.8,2019-01-06 19:12:29
2019-01-06,19:16:02,2.41,126.79,16.0,4.9,2019-01-06 19:16:02
2019-01-06,19:18:26,3.75,123.0,490.0,4.6,2019-01-06 19:18:26
2019-01-06,19:27:43,2.31,127.19,10.0,3.3,2019-01-06 19:27:43
2019-01-06,19:35:05,2.71,126.79,10.0,3.8,2019-01-06 19:35:05
2019-01-06,19:37:23,2.44,126.9,10.0,3.9,2019-01-06 19:37:23
2019-01-06,19:54:51,2.47,126.76,10.0,4.0,2019-01-06 19:54:51
2019-01-06,20:06:29,2.56,126.79,55.0,5.0,2019-01-06 20:06:29
2019-01-06,20:19:50,2.27,126.76,30.0,3.6,2019-01-06 20:19:50
2019-01-06,20:23:53,2.36,126.82,10.0,4.4,2019-01-06 20:23:53
2019-01-06,20:31:41,2.47,127.25,10.0,4.6,2019-01-06 20:31:41
2019-01-06,21:07:31,2.55,126.79,10.0,4.5,2019-01-06 21:07:31
2019-01-06,21:24:04,2.47,126.79,10.0,4.7,2019-01-06 21:24:04
2019-01-06,21:26:34,2.44,126.88,10.0,4.3,2019-01-06 21:26:34
2019-01-06,21:27:37,2.5,126.56,10.0,4.5,2019-01-06 21:27:37
2019-01-06,21:32:59,2.38,126.66,10.0,4.9,2019-01-06 21:32:59
2019-01-06,22:30:46,1.74,127.94,37.0,3.0,2019-01-06 22:30:46
2019-01-06,22:33:00,2.27,126.74,8.0,4.8,2019-01-06 22:33:00
2019-01-06,23:02:06,2.31,126.69,19.0,3.9,2019-01-06 23:02:06
2019-01-06,23:18:40,2.27,126.75,28.0,3.1,2019-01-06 23:18:40
2019-01-06,23:26:06,2.29,126.75,11.0,3.2,2019-01-06 23:26:06
2019-01-06,23:55:24,2.29,126.81,20.0,4.0,2019-01-06 23:55:24
2019-01-07,00:09:07,2.34,126.7,10.0,4.1,2019-01-07 00:09:07
2019-01-07,01:13:36,2.37,126.81,10.0,3.5,2019-01-07 01:13:36
2019-01-07,01:37:19,2.36,126.75,10.0,3.9,2019-01-07 01:37:19
2019-01-07,01:48:02,2.33,126.81,15.0,3.6,2019-01-07 01:48:02
2019-01-07,02:06:53,2.35,126.74,16.0,3.7,2019-01-07 02:06:53
2019-01-07,02:09:04,2.47,126.81,12.0,3.6,2019-01-07 02:09:04
2019-01-07,02:13:48,0.47,121.35,17.0,3.5,2019-01-07 02:13:48
2019-01-07,02:45:03,2.26,126.77,28.0,3.9,2019-01-07 02:45:03
2019-01-07,03:01:46,2.42,126.87,13.0,3.8,2019-01-07 03:01:46
2019-01-07,03:08:44,2.33,126.72,10.0,4.0,2019-01-07 03:08:44
2019-01-07,03:22:02,0.38,122.06,6.0,2.8,2019-01-07 03:22:02
2019-01-07,03:40:48,0.28,122.02,118.0,3.8,2019-01-07 03:40:48
2019-01-07,03:44:26,2.47,126.78,10.0,3.8,2019-01-07 03:44:26
2019-01-07,03:58:49,2.46,126.8,10.0,3.6,2019-01-07 03:58:49
2019-01-07,04:03:22,2.36,126.77,30.0,4.2,2019-01-07 04:03:22
2019-01-07,04:12:13,2.54,126.8,27.0,4.2,2019-01-07 04:12:13
2019-01-07,04:35:45,2.82,126.86,25.0,3.4,2019-01-07 04:35:45
2019-01-07,05:29:57,2.16,126.76,44.0,3.9,2019-01-07 05:29:57
2019-01-07,06:02:51,2.43,126.8,20.0,3.6,2019-01-07 06:02:51
2019-01-07,06:07:50,1.61,126.51,28.0,3.4,2019-01-07 06:07:50
2019-01-07,06:26:08,2.41,126.78,12.0,3.6,2019-01-07 06:26:08
2019-01-07,06:26:58,2.45,127.36,10.0,3.8,2019-01-07 06:26:58
2019-01-07,06:39:52,2.51,126.79,27.0,3.5,2019-01-07 06:39:52
2019-01-07,06:44:53,2.36,126.88,26.0,3.5,2019-01-07 06:44:53
2019-01-07,07:00:20,0.22,121.8,184.0,2.5,2019-01-07 07:00:20
2019-01-07,07:20:44,2.23,126.73,10.0,4.6,2019-01-07 07:20:44
2019-01-07,07:32:44,2.32,126.83,35.0,3.6,2019-01-07 07:32:44
2019-01-07,07:36:44,2.31,126.84,17.0,3.9,2019-01-07 07:36:44
2019-01-07,07:48:57,2.32,126.85,24.0,3.8,2019-01-07 07:48:57
2019-01-07,08:00:35,2.32,126.77,33.0,3.8,2019-01-07 08:00:35
2019-01-07,08:44:54,2.66,126.79,43.0,3.7,2019-01-07 08:44:54
2019-01-07,08:58:51,2.21,126.71,27.0,3.6,2019-01-07 08:58:51
2019-01-07,09:12:44,2.37,126.84,26.0,3.4,2019-01-07 09:12:44
2019-01-07,09:29:49,2.59,126.85,10.0,3.4,2019-01-07 09:29:49
2019-01-07,09:45:22,2.31,126.78,26.0,3.3,2019-01-07 09:45:22
2019-01-07,09:53:01,2.19,126.76,28.0,3.3,2019-01-07 09:53:01
2019-01-07,10:55:35,2.33,126.83,33.0,3.3,2019-01-07 10:55:35
2019-01-07,11:10:00,4.15,126.02,134.0,4.4,2019-01-07 11:10:00
2019-01-07,11:31:03,3.17,125.65,91.0,4.2,2019-01-07 11:31:03
2019-01-07,11:47:28,2.34,126.72,10.0,3.5,2019-01-07 11:47:28
2019-01-07,14:11:53,2.5,126.81,60.0,5.2,2019-01-07 14:11:53
2019-01-07,14:40:00,2.38,126.79,10.0,4.8,2019-01-07 14:40:00
2019-01-07,17:58:47,2.37,126.76,10.0,4.0,2019-01-07 17:58:47
2019-01-07,18:11:29,2.32,126.7,10.0,3.9,2019-01-07 18:11:29
2019-01-07,18:19:03,-0.1,122.96,108.0,3.6,2019-01-07 18:19:03
2019-01-07,19:10:37,2.36,126.81,10.0,3.8,2019-01-07 19:10:37
2019-01-07,19:33:10,2.36,126.84,10.0,3.7,2019-01-07 19:33:10
2019-01-07,19:46:13,0.67,121.81,83.0,1.8,2019-01-07 19:46:13
2019-01-07,20:01:31,-0.19,122.8,124.0,2.7,2019-01-07 20:01:31
2019-01-07,20:25:14,2.48,126.86,30.0,4.0,2019-01-07 20:25:14
2019-01-07,20:34:17,2.29,126.71,29.0,3.6,2019-01-07 20:34:17
2019-01-07,21:58:10,0.69,122.57,10.0,2.6,2019-01-07 21:58:10
2019-01-07,22:19:55,2.33,126.84,10.0,4.0,2019-01-07 22:19:55
2019-01-08,00:14:42,2.34,126.78,20.0,4.1,2019-01-08 00:14:42
2019-01-08,00:23:55,2.31,126.74,10.0,3.6,2019-01-08 00:23:55
2019-01-08,03:42:34,2.33,126.72,6.0,3.9,2019-01-08 03:42:34
2019-01-08,05:22:38,6.17,126.66,106.0,4.2,2019-01-08 05:22:38
2019-01-08,07:23:05,2.29,126.77,21.0,4.2,2019-01-08 07:23:05
2019-01-08,07:24:44,-0.45,119.89,16.0,3.6,2019-01-08 07:24:44
2019-01-08,07:55:57,2.26,126.73,12.0,4.0,2019-01-08 07:55:57
2019-01-08,08:39:02,0.49,122.74,125.0,3.1,2019-01-08 08:39:02
2019-01-08,12:34:42,2.17,126.73,14.0,3.5,2019-01-08 12:34:42
2019-01-08,13:19:26,2.5,127.28,10.0,2.8,2019-01-08 13:19:26
2019-01-08,13:30:13,2.47,126.91,19.0,3.0,2019-01-08 13:30:13
2019-01-08,13:38:37,2.4,126.74,12.0,3.2,2019-01-08 13:38:37
2019-01-08,14:48:12,2.32,126.71,10.0,3.6,2019-01-08 14:48:12
2019-01-08,16:05:57,2.33,126.83,22.0,3.8,2019-01-08 16:05:57
2019-01-08,16:37:49,-0.47,120.09,10.0,3.1,2019-01-08 16:37:49
2019-01-08,16:53:52,2.36,126.82,33.0,3.5,2019-01-08 16:53:52
2019-01-08,16:59:46,-0.38,124.13,19.0,3.4,2019-01-08 16:59:46
2019-01-08,17:13:53,2.44,126.72,14.0,3.8,2019-01-08 17:13:53
2019-01-08,17:46:15,2.46,126.86,10.0,3.9,2019-01-08 17:46:15
2019-01-08,18:22:26,-0.3,123.0,68.0,4.2,2019-01-08 18:22:26
2019-01-08,18:38:57,2.43,126.81,10.0,3.2,2019-01-08 18:38:57
2019-01-08,19:38:03,2.39,126.87,10.0,3.0,2019-01-08 19:38:03
2019-01-08,21:16:01,2.38,126.89,10.0,3.7,2019-01-08 21:16:01
2019-01-08,23:18:15,5.44,124.09,466.0,4.4,2019-01-08 23:18:15
2019-01-09,00:57:43,-0.31,122.94,48.0,3.1,2019-01-09 00:57:43
2019-01-09,02:43:54,-0.19,122.62,10.0,2.9,2019-01-09 02:43:54
2019-01-09,07:52:57,2.39,126.8,10.0,4.0,2019-01-09 07:52:57
2019-01-09,08:36:04,3.89,125.78,144.0,4.2,2019-01-09 08:36:04
2019-01-09,08:43:10,3.2,127.88,133.0,4.0,2019-01-09 08:43:10
2019-01-09,09:59:24,1.58,122.32,26.0,4.3,2019-01-09 09:59:24
2019-01-09,16:15:32,0.46,122.06,178.0,2.7,2019-01-09 16:15:32
2019-01-09,17:27:08,-0.35,123.06,57.0,3.5,2019-01-09 17:27:08
2019-01-09,19:45:54,2.32,126.67,19.0,3.5,2019-01-09 19:45:54
2019-01-09,19:59:10,2.49,126.72,10.0,3.6,2019-01-09 19:59:10
2019-01-09,22:38:04,5.66,126.62,23.0,4.9,2019-01-09 22:38:04
2019-01-10,01:37:15,4.46,126.73,15.0,4.2,2019-01-10 01:37:15
2019-01-10,05:47:19,0.59,122.33,75.0,3.0,2019-01-10 05:47:19
2019-01-10,07:12:12,2.43,126.88,10.0,3.2,2019-01-10 07:12:12
2019-01-10,07:51:52,2.6,128.82,10.0,4.4,2019-01-10 07:51:52
2019-01-10,16:19:12,2.48,126.78,10.0,3.9,2019-01-10 16:19:12
2019-01-10,17:36:10,2.51,128.18,196.0,3.6,2019-01-10 17:36:10
2019-01-10,20:09:31,1.77,126.47,10.0,3.9,2019-01-10 20:09:31
2019-01-11,02:49:28,0.26,122.12,143.0,2.8,2019-01-11 02:49:28
2019-01-11,03:35:31,2.43,126.87,13.0,4.2,2019-01-11 03:35:31
2019-01-11,06:27:34,1.7,126.13,102.0,4.2,2019-01-11 06:27:34
2019-01-11,09:01:25,2.75,127.03,10.0,4.4,2019-01-11 09:01:25
2019-01-11,11:18:57,2.64,126.89,33.0,3.1,2019-01-11 11:18:57
2019-01-11,12:01:30,2.24,126.88,36.0,3.3,2019-01-11 12:01:30
2019-01-11,13:23:04,4.16,126.89,22.0,3.6,2019-01-11 13:23:04
2019-01-11,15:46:58,2.64,126.98,11.0,3.8,2019-01-11 15:46:58
2019-01-11,19:11:58,2.49,126.84,13.0,4.0,2019-01-11 19:11:58
2019-01-11,21:07:27,-0.36,123.12,62.0,3.2,2019-01-11 21:07:27
2019-01-12,02:37:47,1.46,126.82,13.0,3.7,2019-01-12 02:37:47
2019-01-12,03:46:25,2.75,126.97,39.0,3.2,2019-01-12 03:46:25
2019-01-12,09:59:21,-0.17,122.83,74.0,3.6,2019-01-12 09:59:21
2019-01-12,10:42:04,2.81,127.1,10.0,3.3,2019-01-12 10:42:04
2019-01-12,11:26:20,2.51,126.83,10.0,3.5,2019-01-12 11:26:20
2019-01-12,20:33:27,-0.24,120.4,10.0,4.1,2019-01-12 20:33:27
2019-01-13,01:16:23,3.63,128.67,41.0,5.1,2019-01-13 01:16:23
2019-01-13,01:20:16,3.73,128.84,24.0,5.0,2019-01-13 01:20:16
2019-01-13,02:56:00,3.67,128.89,47.0,4.5,2019-01-13 02:56:00
2019-01-13,03:36:14,2.72,128.48,25.0,4.5,2019-01-13 03:36:14
2019-01-13,05:50:58,3.46,128.66,10.0,4.4,2019-01-13 05:50:58
2019-01-13,11:29:54,2.5,126.88,10.0,4.2,2019-01-13 11:29:54
2019-01-13,11:30:56,2.51,126.9,15.0,4.3,2019-01-13 11:30:56
2019-01-13,12:26:58,2.52,126.9,10.0,4.5,2019-01-13 12:26:58
2019-01-13,12:58:36,-0.13,123.02,10.0,3.3,2019-01-13 12:58:36
2019-01-13,13:15:48,2.49,126.88,10.0,3.0,2019-01-13 13:15:48
2019-01-13,14:29:28,3.87,126.99,27.0,4.1,2019-01-13 14:29:28
2019-01-13,14:36:36,3.65,126.93,10.0,3.8,2019-01-13 14:36:36
2019-01-13,15:59:19,2.39,126.68,10.0,3.6,2019-01-13 15:59:19
2019-01-13,16:41:42,2.47,127.28,18.0,3.4,2019-01-13 16:41:42
2019-01-13,18:03:45,1.97,126.95,20.0,3.5,2019-01-13 18:03:45
2019-01-13,18:10:18,-0.4,120.12,10.0,3.8,2019-01-13 18:10:18
2019-01-13,20:51:21,3.51,128.7,10.0,4.1,2019-01-13 20:51:21
2019-01-13,21:19:36,0.57,126.36,51.0,4.7,2019-01-13 21:19:36
2019-01-13,22:54:59,3.28,127.72,10.0,3.7,2019-01-13 22:54:59
2019-01-13,22:57:44,2.56,126.77,21.0,4.0,2019-01-13 22:57:44
2019-01-13,23:04:33,2.33,126.67,16.0,3.6,2019-01-13 23:04:33
2019-01-13,23:54:34,0.43,122.61,79.0,2.7,2019-01-13 23:54:34
2019-01-13,23:57:49,2.26,126.77,10.0,3.6,2019-01-13 23:57:49
2019-01-14,01:09:29,3.6,128.7,10.0,3.9,2019-01-14 01:09:29
2019-01-14,01:51:45,3.75,126.93,17.0,3.2,2019-01-14 01:51:45
2019-01-14,01:56:22,3.73,126.95,18.0,3.4,2019-01-14 01:56:22
2019-01-14,02:01:48,2.38,126.74,10.0,3.7,2019-01-14 02:01:48
2019-01-14,03:24:18,1.63,126.36,16.0,4.3,2019-01-14 03:24:18
2019-01-14,04:01:13,3.61,128.73,32.0,4.3,2019-01-14 04:01:13
2019-01-14,08:50:52,5.61,126.88,125.0,4.3,2019-01-14 08:50:52
2019-01-14,11:59:28,1.95,121.47,16.0,4.3,2019-01-14 11:59:28
2019-01-14,15:23:00,-0.09,123.89,80.0,3.7,2019-01-14 15:23:00
2019-01-14,16:31:25,2.43,126.83,133.0,3.6,2019-01-14 16:31:25
2019-01-14,17:20:23,0.97,126.08,12.0,3.9,2019-01-14 17:20:23
2019-01-14,19:03:45,-0.12,124.77,62.0,3.8,2019-01-14 19:03:45
2019-01-14,21:23:35,2.43,126.73,10.0,4.0,2019-01-14 21:23:35
2019-01-15,02:39:30,2.66,126.99,10.0,3.9,2019-01-15 02:39:30
2019-01-15,05:27:15,0.31,122.11,162.0,2.6,2019-01-15 05:27:15
2019-01-15,12:39:34,2.43,126.78,17.0,3.5,2019-01-15 12:39:34
2019-01-15,17:21:39,2.38,126.16,20.0,4.1,2019-01-15 17:21:39
2019-01-15,20:03:23,5.87,126.89,83.0,5.8,2019-01-15 20:03:23
2019-01-15,20:39:27,0.97,125.98,10.0,3.4,2019-01-15 20:39:27
2019-01-16,05:41:11,0.33,125.44,10.0,4.1,2019-01-16 05:41:11
2019-01-16,10:11:28,0.47,121.07,68.0,4.1,2019-01-16 10:11:28
2019-01-16,10:30:53,3.61,126.28,48.0,4.0,2019-01-16 10:30:53
2019-01-16,10:49:32,3.48,128.66,59.0,5.4,2019-01-16 10:49:32
2019-01-16,10:53:16,3.52,128.75,10.0,4.9,2019-01-16 10:53:16
2019-01-16,11:00:36,3.61,128.75,10.0,4.4,2019-01-16 11:00:36
2019-01-16,11:14:55,3.47,128.65,10.0,4.1,2019-01-16 11:14:55
2019-01-16,11:31:56,3.54,128.76,10.0,3.8,2019-01-16 11:31:56
2019-01-16,20:37:56,2.0,127.73,210.0,3.5,2019-01-16 20:37:56
2019-01-16,21:45:14,0.28,121.67,176.0,4.3,2019-01-16 21:45:14
2019-01-17,00:25:25,2.12,126.67,29.0,3.8,2019-01-17 00:25:25
2019-01-17,01:00:14,3.51,128.36,10.0,3.5,2019-01-17 01:00:14
2019-01-17,01:06:49,3.55,128.58,10.0,3.9,2019-01-17 01:06:49
2019-01-17,07:29:05,1.46,127.41,120.0,3.6,2019-01-17 07:29:05
2019-01-17,09:37:05,4.91,125.74,103.0,4.4,2019-01-17 09:37:05
2019-01-17,14:37:08,-0.27,120.18,10.0,4.1,2019-01-17 14:37:08
2019-01-17,15:14:44,3.84,126.1,118.0,5.0,2019-01-17 15:14:44
2019-01-17,19:39:44,-0.33,122.9,67.0,3.4,2019-01-17 19:39:44
2019-01-17,23:11:34,3.43,128.74,27.0,4.8,2019-01-17 23:11:34
2019-01-18,14:03:16,0.45,121.21,19.0,3.1,2019-01-18 14:03:16
2019-01-18,15:38:19,3.57,128.74,10.0,5.0,2019-01-18 15:38:19
2019-01-18,18:52:04,3.4,128.75,37.0,5.1,2019-01-18 18:52:04
2019-01-19,06:07:02,-0.06,123.62,130.0,4.3,2019-01-19 06:07:02
2019-01-19,10:03:23,3.55,126.81,10.0,3.7,2019-01-19 10:03:23
2019-01-19,11:13:02,3.5,128.84,43.0,4.6,2019-01-19 11:13:02
2019-01-19,14:03:03,2.4,126.8,42.0,5.0,2019-01-19 14:03:03
2019-01-19,15:52:52,6.13,125.79,10.0,4.2,2019-01-19 15:52:52
2019-01-20,03:25:33,1.02,122.06,12.0,3.5,2019-01-20 03:25:33
2019-01-20,05:37:48,2.49,126.89,10.0,3.8,2019-01-20 05:37:48
2019-01-20,05:54:47,3.86,128.44,28.0,4.2,2019-01-20 05:54:47
2019-01-20,06:13:26,3.47,128.79,10.0,4.6,2019-01-20 06:13:26
2019-01-20,06:51:54,0.95,126.04,10.0,3.9,2019-01-20 06:51:54
2019-01-20,07:04:02,0.94,122.65,26.0,3.0,2019-01-20 07:04:02
2019-01-20,07:47:55,5.63,121.72,10.0,5.3,2019-01-20 07:47:55
2019-01-20,07:53:02,0.65,120.15,10.0,4.1,2019-01-20 07:53:02
2019-01-20,12:46:43,1.33,120.98,10.0,3.9,2019-01-20 12:46:43
2019-01-20,14:24:32,1.28,126.1,24.0,3.6,2019-01-20 14:24:32
2019-01-20,18:33:33,0.58,125.66,18.0,3.5,2019-01-20 18:33:33
2019-01-20,19:50:57,0.15,122.76,10.0,2.7,2019-01-20 19:50:57
2019-01-21,10:45:57,-0.21,123.31,100.0,4.8,2019-01-21 10:45:57
2019-01-21,12:45:03,0.18,127.35,143.0,3.7,2019-01-21 12:45:03
2019-01-21,13:27:21,2.88,127.22,38.0,4.2,2019-01-21 13:27:21
2019-01-21,16:47:51,4.28,126.83,10.0,5.0,2019-01-21 16:47:51
2019-01-21,17:37:53,4.29,126.89,11.0,4.1,2019-01-21 17:37:53
2019-01-22,02:32:15,0.66,116.42,77.0,3.9,2019-01-22 02:32:15
2019-01-22,04:40:21,3.82,126.4,92.0,4.4,2019-01-22 04:40:21
2019-01-22,14:33:35,3.96,126.21,32.0,3.3,2019-01-22 14:33:35
2019-01-22,14:42:42,2.18,127.11,21.0,2.9,2019-01-22 14:42:42
2019-01-22,15:30:17,0.32,122.52,124.0,3.3,2019-01-22 15:30:17
2019-01-22,17:41:58,-0.23,122.88,17.0,2.9,2019-01-22 17:41:58
2019-01-23,09:40:06,4.6,125.87,162.0,4.5,2019-01-23 09:40:06
2019-01-23,12:11:09,1.09,127.0,16.0,4.2,2019-01-23 12:11:09
2019-01-23,15:48:12,2.54,128.42,219.0,4.1,2019-01-23 15:48:12
2019-01-23,16:06:24,2.43,126.67,10.0,3.7,2019-01-23 16:06:24
2019-01-23,17:11:44,2.49,126.82,10.0,3.6,2019-01-23 17:11:44
2019-01-23,18:10:23,-0.16,124.83,31.0,4.1,2019-01-23 18:10:23
2019-01-23,19:54:00,0.43,122.29,147.0,3.7,2019-01-23 19:54:00
2019-01-24,04:12:44,-0.09,123.05,10.0,2.9,2019-01-24 04:12:44
2019-01-24,05:30:30,5.87,123.52,77.0,4.4,2019-01-24 05:30:30
2019-01-24,06:27:55,1.59,127.08,111.0,3.6,2019-01-24 06:27:55
2019-01-24,09:22:12,0.77,121.3,81.0,2.4,2019-01-24 09:22:12
2019-01-24,11:15:11,3.47,126.93,28.0,3.4,2019-01-24 11:15:11
2019-01-24,13:37:59,-0.42,117.22,14.0,2.8,2019-01-24 13:37:59
